X,y,y_1
"An individual reported their bicycle stolen from a bike rack outside their workplace. The bike was secured with a heavy-duty lock, but the thief managed to cut through the lock and steal the bicycle. Police are conducting patrols in the area to locate the stolen property.",Theft,Unknown
A purse was snatched from a pedestrian walking down Main Street. The victim described the suspect as a male wearing a hooded sweatshirt who fled the scene on foot. Police are canvassing the area and reviewing security camera footage to identify the perpetrator.,Theft,Unknown
A package was stolen from the front porch of a residence on Elm Avenue. The homeowner observed the theft on their security camera and reported it to the authorities. Police are investigating the incident and following up on leads to apprehend the thief.,Theft,Unknown
A laptop was stolen from a coffee shop when the owner briefly left their table unattended. The thief snatched the laptop and fled the scene before the owner returned. Police are reviewing surveillance footage from nearby cameras to identify the suspect.,Theft,Unknown
A purse was stolen from a shopping cart at a grocery store while the owner was distracted browsing the aisles. The thief grabbed the purse and ran out of the store before anyone noticed. Police are investigating the theft and checking for any leads from witnesses.,Theft,Unknown
An electronic device was stolen from a parked car in a parking garage downtown. The thief broke into the vehicle and stole the device before fleeing the scene. Police are reviewing security camera footage to identify the suspect.,Theft,Unknown
"A wallet was stolen from a backpack left unattended at a library. The victim momentarily stepped away from their belongings, and upon returning, discovered the wallet missing. Police are investigating the theft and checking for any surveillance footage from the library.",Theft,Unknown
"A bicycle was stolen from a residential backyard overnight. The owner had left the bike unsecured, and the thief took advantage of the opportunity to steal it. Police are conducting patrols in the area and checking pawn shops for any signs of the stolen bike.",Theft,Unknown
A shopper at a busy mall covertly pocketed several items from a display table before exiting the store without paying. Store security reviewed surveillance footage and alerted authorities.,Theft,Unknown
"During a neighborhood garage sale, a thief swiped valuables from unattended tables while pretending to browse. Witnesses reported the incident, but the suspect escaped before police arrived.",Theft,Unknown
"In a crowded market, a pickpocket adeptly removed a wallet from a distracted shopper's purse before disappearing into the crowd. The victim only noticed the theft when attempting to make a purchase.",Theft,Unknown
"While attending a public event, a thief stole a smartphone from an unattended bag left on a bench. The victim realized the phone was missing but was unable to locate the thief in the crowd.",Theft,Unknown
"During a social gathering at a friend's house, valuable jewelry went missing from a bedroom. Despite questioning attendees, the thief managed to slip away undetected.",Theft,Unknown
"A resident reported a theft from their automobile. The car was parked in front of their house, and the thief broke the window to steal a laptop and other personal belongings. The police are collecting evidence.",Theft from Auto,Unknown
"Multiple vehicles were broken into overnight in a parking lot near the city park. The perpetrators smashed the windows of several cars and stole valuables left inside, including electronic devices and personal belongings. Police are urging residents to secure their vehicles and report any suspicious activity.",Theft from Auto,Unknown
"A series of car break-ins were reported in a residential neighborhood. The culprits targeted unlocked vehicles and rummaged through the contents, stealing loose change, electronics, and other valuables. Police are advising residents to keep their cars locked and remove valuables from sight.",Theft from Auto,Unknown
"Several reports were made of car windows being smashed in a parking garage downtown. Thieves stole items such as laptops, purses, and backpacks left in plain view inside the vehicles. Police are increasing patrols in the area and urging motorists to secure their belongings.",Theft from Auto,Unknown
An individual reported their car broken into while parked at a hiking trailhead. The thief smashed the window and stole a backpack containing hiking gear and personal items. Police are reminding hikers to secure valuables out of sight or take them with them on the trail.,Theft from Auto,Unknown
Police responded to a report of a vehicle break-in at a gym parking lot. The victim returned from their workout to find the car window shattered and their gym bag stolen from the backseat. Officers are investigating the incident and reviewing surveillance footage from the area.,Theft from Auto,Unknown
"Multiple vehicles were broken into at a movie theater parking lot during a late-night screening. Thieves smashed car windows and stole valuables left inside, including purses, wallets, and electronic devices. Police are urging moviegoers to be vigilant and report any suspicious activity.",Theft from Auto,Unknown
"A car window was smashed in a restaurant parking lot, and a laptop bag was stolen from the backseat. The owner had left the bag visible, providing an easy target for the thief. Police are reviewing surveillance footage from nearby cameras to identify the suspect.",Theft from Auto,Unknown
Several cars were broken into at a gym parking lot while patrons were inside working out. Thieves targeted unlocked vehicles and stole valuables left in plain sight. Police are advising gym-goers to secure their belongings and report any suspicious individuals in the area.,Theft from Auto,Unknown
A delivery van was broken into while making a delivery in a residential neighborhood. The thief smashed the window and stole packages from inside the vehicle before fleeing the scene. Police are investigating the incident and asking residents to report any stolen packages.,Theft from Auto,Unknown
A car break-in was reported at a hiking trailhead parking lot. The thief smashed the window and stole a backpack containing hiking gear and personal items. Police are reminding hikers to secure valuables out of sight or take them with them on the trail.,Theft from Auto,Unknown
"In a parking lot near a hiking trail, a thief broke into parked cars, targeting visible valuables left inside. Several vehicles were vandalized, and items such as electronics and bags were stolen.",Theft from Auto,Unknown
"At a crowded beach parking lot, car windows were smashed, and belongings were stolen from vehicles left unattended while owners enjoyed the beach. Police patrolled the area but found no suspects.",Theft from Auto,Unknown
"During a sporting event at a stadium, multiple vehicles were targeted by thieves who broke windows and stole items left inside. Despite increased security, the perpetrators evaded capture.",Theft from Auto,Unknown
"In a busy downtown area, thieves targeted parked cars in a parking garage, smashing windows and stealing valuables left in plain sight. Security cameras captured the incidents, but the culprits remained unidentified.",Theft from Auto,Unknown
"During a concert at an outdoor venue, car break-ins occurred in the nearby parking lot. Thieves targeted vehicles with visible valuables, causing damage and stealing items before fleeing the scene.",Theft from Auto,Unknown
"A fight broke out between two individuals outside a nightclub, resulting in injuries to both parties. The altercation started as a verbal dispute before escalating into physical violence. Police were called to the scene and arrested both individuals involved.",Assault,Physical Force
"Officers responded to a domestic disturbance call at a residence on Oak Street. Upon arrival, they found evidence of a physical altercation between family members. One individual sustained minor injuries and declined medical attention. The aggressor was arrested at the scene.",Assault,Physical Force
"Police were called to a bar downtown where a patron had assaulted a bouncer after being refused entry. The suspect became aggressive and started a physical altercation, causing minor injuries to the bouncer. The suspect fled the scene but was later apprehended by law enforcement.",Assault,Physical Force
Officers intervened in a fight between two individuals at a sporting event. The altercation began as a verbal dispute over a disputed call and quickly escalated into physical violence. Both parties were arrested for assault and escorted off the premises.,Assault,Physical Force
"A physical altercation occurred at a local park between two individuals involved in a heated argument. One person punched the other, causing minor injuries. Police were called to the scene and separated the parties involved. Both individuals declined to press charges, and the matter was resolved peacefully.",Assault,Physical Force
"An argument between neighbors escalated when one person shoved the other, resulting in a fall and minor injuries. Police were called to mediate the situation and ensure no further violence occurred.",Assault,Physical Force
"After a minor traffic accident, one driver became aggressive and assaulted the other driver through the car window before fleeing the scene. The victim sustained minor injuries and reported the incident to law enforcement.",Assault,Physical Force
"An armed robbery occurred at a gas station late at night. The suspect entered the store, brandished a weapon, and demanded money from the cashier. After receiving cash from the register, the suspect fled on foot. Police are reviewing surveillance footage to identify the perpetrator.",Robbery,Unknown
"Two individuals were robbed while sitting in their parked car outside a movie theater. The suspects approached the vehicle, smashed the window, and demanded the victims' valuables at knifepoint. The victims complied, and the suspects fled the scene on foot. Police are conducting a search for the suspects.",Robbery,Unknown
"A delivery driver was robbed of their vehicle while making a stop in a residential neighborhood. The suspect approached the driver, threatened them with a weapon, and demanded the keys to the vehicle. The suspect then fled the scene in the stolen delivery truck. Police are actively searching for the stolen vehicle and the suspect.",Robbery,Unknown
"While walking home late at night, a pedestrian was accosted by a masked assailant who threatened them with a weapon and asked them to hand over their wallet. The victim complied, and the robber fled the scene on foot.",Robbery,Unknown
"At a gas station, a thief approached a customer pumping gas, brandished a weapon, and demanded their car keys and wallet. The victim complied, and the thief fled in the stolen vehicle.",Robbery,Unknown
"At a jewelry store, armed robbers smashed display cases, grabbed valuables, and fled in a waiting vehicle. Despite efforts by law enforcement, the suspects remain at large.",Robbery,Unknown
